sentence1,sentence2,score
i didn t sleep well the night before and am not feeling half as brave as i was yesterday,i didn t sleep well the night before and am not feeling half as brave as i was yesterday,0.0
i will actually feel comfortable speaking to others in just japanese i feel pretty happy about my current progress,i will actually feel comfortable speaking to others in just japanese i feel pretty happy about my current progress,0.0
i feel like god has been gracious in answering prayers,i feel like god has been gracious in answering prayers,0.0
i feel annoyed at the fact that i m three weeks out of chemotherapy and i m getting annoying pinching niggles in my back,i feel annoyed at the fact that i m three weeks out of chemotherapy and i m getting annoying pinching niggles in my back,0.0
i feel extremely lost right now,i feel extremely lost right now,0.0
i every once in a while feel free,i every once in a while feel free,0.0
i feel like i would have been confused if i had waited a long time before reading the second book,i feel like i would have been confused if i had waited a long time before reading the second book,0.0
i feel like this is another one of those dresses that looks really cool from far away but when i take a closer look i dont like it as much,i feel like this is another one of those dresses that looks really cool from far away but when i take a closer look i dont like it as much,0.0
im feeling a little melancholy tonight kinda like the paint on this door,im feeling a little melancholy tonight kinda like the paint on this door,0.0
i don t want you to feel left out o faithful reader i love you too,i don t want you to feel left out o faithful reader i love you too,0.0
i would picture that rock hitting that frog and it s body being carried downstream and i would feel ashamed,i would picture that rock hitting that frog and it s body being carried downstream and i would feel ashamed,0.0
i feel that the leader i admired is being selfish,i feel that the leader i admired is being selfish,0.0
im just figuring these lyrics out myself so apologies if im slightly wrong but it just feels a bit fake,im just figuring these lyrics out myself so apologies if im slightly wrong but it just feels a bit fake,0.0
i feel like i have a headcold and im groggy and even more exhausted today,i feel like i have a headcold and im groggy and even more exhausted today,0.0
i don t want to bury the hatchet with even though it would be in my best interest simply because i feel that apologizing to a person that insulted me would make me feel like a punk,i don t want to bury the hatchet with even though it would be in my best interest simply because i feel that apologizing to a person that insulted me would make me feel like a punk,0.0
i always feel this sadness and aching in my heart when i look at him,i always feel this sadness and aching in my heart when i look at him,0.0
im here today after looking at my bank account this morning and feeling shocked,im here today after looking at my bank account this morning and feeling shocked,0.0
i feel doomed for wanting to get a doctorate of something besides medicine,i feel doomed for wanting to get a doctorate of something besides medicine,0.0
i feel so horrible that i want to cry,i feel so horrible that i want to cry,0.0
i have a lot to be thankful for every year but i feel like this is one year that im extremely thankful that i have such an amazingly supportive family,i have a lot to be thankful for every year but i feel like this is one year that im extremely thankful that i have such an amazingly supportive family,0.0
i went to sleep friday i was feeling relieved that none of our family was caught in the tornadoes in broken arrow later that night,i went to sleep friday i was feeling relieved that none of our family was caught in the tornadoes in broken arrow later that night,0.0
i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,0.0
i used to feel guilty about the large portion of my time and income devoted to various craft hobbies but eventually i realised that i am stress busting and its cheaper than therapy,i used to feel guilty about the large portion of my time and income devoted to various craft hobbies but eventually i realised that i am stress busting and its cheaper than therapy,0.0
im feeling peaceful and im happy that i dont have to do anymore scabi im in verona my final week,im feeling peaceful and im happy that i dont have to do anymore scabi im in verona my final week,0.0
i am moving on and i feel sorry for you because i thought you were the most amazing boy ever,i am moving on and i feel sorry for you because i thought you were the most amazing boy ever,0.0
i wish i could take my feelings and sort them as i would a messy file,i wish i could take my feelings and sort them as i would a messy file,0.0
i feel most unwelcome,i feel most unwelcome,0.0
i am feeling incredibly restless,i am feeling incredibly restless,0.0
i could feel the stress leaving my veins and just getting out of me it was wonderful,i could feel the stress leaving my veins and just getting out of me it was wonderful,0.0
i feel so thrilled to share with my fans because lots of my songs are inspiring,i feel so thrilled to share with my fans because lots of my songs are inspiring,0.0
i have to care about and care for people with disabilities who are targeted by sensationalist media reports as well as at the same time feel the sorrow i do for the parents family members and community in newtown connecticut that is stunned by the events of today,i have to care about and care for people with disabilities who are targeted by sensationalist media reports as well as at the same time feel the sorrow i do for the parents family members and community in newtown connecticut that is stunned by the events of today,0.0
i feel like i will be successful,i feel like i will be successful,0.0
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,0.0
i feel extremely alone and isolated but the thing is is that nothing could be further from the truth,i feel extremely alone and isolated but the thing is is that nothing could be further from the truth,0.0
im feeling cranky after taxation,im feeling cranky after taxation,0.0
i hope to feel a waft of cool air but no luck,i hope to feel a waft of cool air but no luck,0.0
i look at my work and i just feel like its less than perfect but i want perfection,i look at my work and i just feel like its less than perfect but i want perfection,0.0
i feel quite surprised that i have a fairly significant amount of blog readers,i feel quite surprised that i have a fairly significant amount of blog readers,0.0
i came away from this evening feeling very rich that i have a friend down the street that is so very close to me,i came away from this evening feeling very rich that i have a friend down the street that is so very close to me,0.0
i feel tortured a href http lawrencewashington,i feel tortured a href http lawrencewashington,0.0
i already mentioned that the company i had a phone interview with decided i was not the right fit for the position and i feel rejected,i already mentioned that the company i had a phone interview with decided i was not the right fit for the position and i feel rejected,0.0
i have the same feelings toward the word passionate,i have the same feelings toward the word passionate,0.0
i feel like an ass when i have to ask someone what their delicious looking dessert is made of,i feel like an ass when i have to ask someone what their delicious looking dessert is made of,0.0
i am feeling unduly pleased with myself because i managed to change the battery in my smoke detector,i am feeling unduly pleased with myself because i managed to change the battery in my smoke detector,0.0
im freaking out worried feeling rejected,im freaking out worried feeling rejected,0.0
i feel like i m on the receiving end of a violent attack,i feel like i m on the receiving end of a violent attack,0.0
i can genuinely say from the bottom of my heart that i feel absolutely thankful,i can genuinely say from the bottom of my heart that i feel absolutely thankful,0.0
i feel uncertain of how i can keep my personal development of fitness and health going in the right direction,i feel uncertain of how i can keep my personal development of fitness and health going in the right direction,0.0
i feel like i must defend my beloved blue hehe,i feel like i must defend my beloved blue hehe,0.0
i feel delicious thanks,i feel delicious thanks,0.0
i found myself feeling fairly ignored sort of taken for granted you know,i found myself feeling fairly ignored sort of taken for granted you know,0.0
i feel especially strongly about this since i have hated my teeth forever i was one of the unlucky ones who got bad genetics and an even worst orthodontist and pediatric dentist,i feel especially strongly about this since i have hated my teeth forever i was one of the unlucky ones who got bad genetics and an even worst orthodontist and pediatric dentist,0.0
i feel assured thankk god,i feel assured thankk god,0.0
i always had this feeling though that if we did have more surely surely god would give me a break and bless me with a peaceful baby,i always had this feeling though that if we did have more surely surely god would give me a break and bless me with a peaceful baby,0.0
im not sure if what im feeling is so extremely vulnerable or now that i feel so depressed and sad,im not sure if what im feeling is so extremely vulnerable or now that i feel so depressed and sad,0.0
i am struck down by the disease i feel as if i am a fake a person who could not live his truth,i am struck down by the disease i feel as if i am a fake a person who could not live his truth,0.0
i really hate that feeling when youre unsure about something,i really hate that feeling when youre unsure about something,0.0
i am feeling very unloved,i am feeling very unloved,0.0
i feel so dumb talking about this i feel like a whiny emo teenager who has so many problems and who is far too in love with her temporary boyfriend,i feel so dumb talking about this i feel like a whiny emo teenager who has so many problems and who is far too in love with her temporary boyfriend,0.0
i really can carry a grudge for a long time against those i feel have wronged or hurt me in someway whether they are aware of it or not,i really can carry a grudge for a long time against those i feel have wronged or hurt me in someway whether they are aware of it or not,0.0
i could tell but the pain you feel in your own heart from those whom you have abused will torture you for the duration of your life,i could tell but the pain you feel in your own heart from those whom you have abused will torture you for the duration of your life,0.0
i can go on not saying anything and feeling petty but it seems that this load is gettin heavy,i can go on not saying anything and feeling petty but it seems that this load is gettin heavy,0.0
i realized what i am passionate about helping women feel accepted and appreciated,i realized what i am passionate about helping women feel accepted and appreciated,0.0
i always feel very afraid as i work on books egan tells kurt,i always feel very afraid as i work on books egan tells kurt,0.0
im feeling terribly impatient,im feeling terribly impatient,0.0
i still feel like im damaged goods and that affects everything that i do in my life,i still feel like im damaged goods and that affects everything that i do in my life,0.0
i feel the most peaceful and at my best when i m in nature,i feel the most peaceful and at my best when i m in nature,0.0
i usually feel suspicious and guilty about this considering how little i do during my work day,i usually feel suspicious and guilty about this considering how little i do during my work day,0.0
im feeling really lonely and feeling like im missing a part of myself,im feeling really lonely and feeling like im missing a part of myself,0.0
i like her a lot as a person but i cant help feeling less that what she is she has my dream jobs shes more sociable shes a combat trainer,i like her a lot as a person but i cant help feeling less that what she is she has my dream jobs shes more sociable shes a combat trainer,0.0
i hate these feelings of not being complacent,i hate these feelings of not being complacent,0.0
i have to admit i feel a little hesitant about embedding a music video below in this case,i have to admit i feel a little hesitant about embedding a music video below in this case,0.0
i feel very excited for my familys future,i feel very excited for my familys future,0.0
i feel more clever,i feel more clever,0.0
i am floating in the flashback feeling the heaviness of nostalgic heart,i am floating in the flashback feeling the heaviness of nostalgic heart,0.0
im stressed angry upset to the point where im feeling numb but one more bad thing is sure to set me over the edge,im stressed angry upset to the point where im feeling numb but one more bad thing is sure to set me over the edge,0.0
i also feel it is worth mentioning that makin it rain may be acceptable at a strip club but not at your local cineplex,i also feel it is worth mentioning that makin it rain may be acceptable at a strip club but not at your local cineplex,0.0
i hope she s feeling ok,i hope she s feeling ok,0.0
i do buy synthetic pearls when i feel the need to and i use these for some of my more elegant jewelry and trinkets,i do buy synthetic pearls when i feel the need to and i use these for some of my more elegant jewelry and trinkets,0.0
i just wish i didnt feel like my roommates hated me half the time,i just wish i didnt feel like my roommates hated me half the time,0.0
i had a feeling he was too horny at that moment,i had a feeling he was too horny at that moment,0.0
im feeling particularly carefree i have hawaiian bbq chicken pizza with chicken bbq sauce pineapple and onions,im feeling particularly carefree i have hawaiian bbq chicken pizza with chicken bbq sauce pineapple and onions,0.0
i feel like hes so smart so i can converse many things with him share everything that i wanna share and ask his opinion about whatever,i feel like hes so smart so i can converse many things with him share everything that i wanna share and ask his opinion about whatever,0.0
i feel so fucked up from what happened on thursday,i feel so fucked up from what happened on thursday,0.0
i am not feeling good pretty much everyday,i am not feeling good pretty much everyday,0.0
i feel like an ungrateful ass,i feel like an ungrateful ass,0.0
i went to bed super early so i havent spent a ton of time with alot of these resources but enough to feel like these will all be useful in the future,i went to bed super early so i havent spent a ton of time with alot of these resources but enough to feel like these will all be useful in the future,0.0
i guess since this book kind of bring a negative feeling to my self that im longing to find my simon i guess i wont be reading a romance book again in the future,i guess since this book kind of bring a negative feeling to my self that im longing to find my simon i guess i wont be reading a romance book again in the future,0.0
i apologise in advance i m feeling somewhat angered and stressed and the following is just going to have to come out,i apologise in advance i m feeling somewhat angered and stressed and the following is just going to have to come out,0.0
i feel disturbed in which happens to be roughly everywhere,i feel disturbed in which happens to be roughly everywhere,0.0
im happy there are people in this world that have been so untouched by mental health issues that they feel it is cute to make light the plight of the affected but unfortunately they dont realize the damage they are doing,im happy there are people in this world that have been so untouched by mental health issues that they feel it is cute to make light the plight of the affected but unfortunately they dont realize the damage they are doing,0.0
i still have such a hard time writing my work down and when i do i feel its not perfect,i still have such a hard time writing my work down and when i do i feel its not perfect,0.0
im feeling discontent with everything and its manifesting itself in destructive self sabotaging ways,im feeling discontent with everything and its manifesting itself in destructive self sabotaging ways,0.0
i know there are times where some nightmarish things may really happen to us but when dreaming bad visions just popped into our minds and have us feeling terrible,i know there are times where some nightmarish things may really happen to us but when dreaming bad visions just popped into our minds and have us feeling terrible,0.0
i feel developers should hear that people are really impressed with their work if they are,i feel developers should hear that people are really impressed with their work if they are,0.0
i have swung between feeling resentful that others need me to feeling ashamed and angry that i am not more with it and able to be a better daughter sister friend citizen,i have swung between feeling resentful that others need me to feeling ashamed and angry that i am not more with it and able to be a better daughter sister friend citizen,0.0
i feel that cold breeze,i feel that cold breeze,0.0
i had the love of my life in nathan been in love and shit and here was travis and i felt hardly anything and im sitting here feeling doomed that i would never again find someone who would give me that spark,i had the love of my life in nathan been in love and shit and here was travis and i felt hardly anything and im sitting here feeling doomed that i would never again find someone who would give me that spark,0.0
i hate that feeling when im about to do something then i get scared and almost turn around and walk away,i hate that feeling when im about to do something then i get scared and almost turn around and walk away,0.0
i the ultimate place to restore the peace to feel divine to kneel for worship and to attain hapiness,i the ultimate place to restore the peace to feel divine to kneel for worship and to attain hapiness,0.0
i was feeling beaten up by life yesterday you see i am in love with a schizofrenic man who i had to kick out of my house for having boisterous fights with himself,i was feeling beaten up by life yesterday you see i am in love with a schizofrenic man who i had to kick out of my house for having boisterous fights with himself,0.0
i just take what i feel like would taste delicious and start off,i just take what i feel like would taste delicious and start off,0.0
i apologise i really shouldn t be thinking that but it just makes me feel that the person isn t taking into consideration the fact that we need to watch other videos to it s called supporting our subscribers does it make me a bad person thinking and feeling this,i apologise i really shouldn t be thinking that but it just makes me feel that the person isn t taking into consideration the fact that we need to watch other videos to it s called supporting our subscribers does it make me a bad person thinking and feeling this,0.0
i did the yelling the feeling of being extremely mad,i did the yelling the feeling of being extremely mad,0.0
i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,0.0
i know that when i am feeling distraught or moody i can depend on you two to put a smile back on my face,i know that when i am feeling distraught or moody i can depend on you two to put a smile back on my face,0.0
i feel very relaxed playing with carl clarke says,i feel very relaxed playing with carl clarke says,0.0
i didnt feel exhausted,i didnt feel exhausted,0.0
i decided to focus on how i was feeling and what needs were not being met for me in this situation rest calm enjoyment relaxation,i decided to focus on how i was feeling and what needs were not being met for me in this situation rest calm enjoyment relaxation,0.0
im not much of a people watcher or a voyeur so i feel kinda weird when walking around taking street shots,im not much of a people watcher or a voyeur so i feel kinda weird when walking around taking street shots,0.0
i really like in choir the people who i feel are really friends in choir who are sincere to me are not going for the trip and i feel really lost,i really like in choir the people who i feel are really friends in choir who are sincere to me are not going for the trip and i feel really lost,0.0
i slapped him because feelings are dumb,i slapped him because feelings are dumb,0.0
i feel like watching a show or a movie after the kids are in bed i make sure to hop on my elliptical or spin bike for at least minutes of the show before i settle down and stretch out for the night,i feel like watching a show or a movie after the kids are in bed i make sure to hop on my elliptical or spin bike for at least minutes of the show before i settle down and stretch out for the night,0.0
i feel like i should have actively hated every single second rather than just borne it all,i feel like i should have actively hated every single second rather than just borne it all,0.0
i am worried that you might feel pressured or obligated that wasnt my intention and i am sensitive to your situation,i am worried that you might feel pressured or obligated that wasnt my intention and i am sensitive to your situation,0.0
i feel heartbroken for the people of north carolina,i feel heartbroken for the people of north carolina,0.0
i believe are sincere on both parts but we have seen time and again that logan probably feels much more devoted to her than she does to him,i believe are sincere on both parts but we have seen time and again that logan probably feels much more devoted to her than she does to him,0.0
i was talking to elder ditlevsen the other day about my plans at college and things and how you guys were all way excited for me to get back and he told me that he remembered feeling a little nervous as a parent,i was talking to elder ditlevsen the other day about my plans at college and things and how you guys were all way excited for me to get back and he told me that he remembered feeling a little nervous as a parent,0.0
i feel honoured to be teamed with jim whom i first met about ten years ago,i feel honoured to be teamed with jim whom i first met about ten years ago,0.0
when people harrass me i feel oppressed by their behavior,when people harrass me i feel oppressed by their behavior,0.0
im feeling a bit of wanderlust since im about to go away on holiday for a few days with my beloved g,im feeling a bit of wanderlust since im about to go away on holiday for a few days with my beloved g,0.0
i was healthy then this mild but annoying cold ad now a new cold which made me feel just awful for he past day,i was healthy then this mild but annoying cold ad now a new cold which made me feel just awful for he past day,0.0
i thought i d get enough info to know about the subject but i went home feeling comfident that i could actually do it and keen to get started experimenting,i thought i d get enough info to know about the subject but i went home feeling comfident that i could actually do it and keen to get started experimenting,0.0
i am writing this at a time when i have also had an upset with the only real parent i have had almost constantly in my life and when theres no brothers and sisters around either i am an only child it feels kinda lonely,i am writing this at a time when i have also had an upset with the only real parent i have had almost constantly in my life and when theres no brothers and sisters around either i am an only child it feels kinda lonely,0.0
i feel like im not welcomed here i just dont like blend in or something,i feel like im not welcomed here i just dont like blend in or something,0.0
i didn t like the first book should have stayed with my gut feeling on that one liked the second book pretty well third book was a little better and i hated the last book,i didn t like the first book should have stayed with my gut feeling on that one liked the second book pretty well third book was a little better and i hated the last book,0.0
i feel like i am despised,i feel like i am despised,0.0
i was feeling irritable and grumpy today so i came home for lunch took a nap,i was feeling irritable and grumpy today so i came home for lunch took a nap,0.0
i feel isolated as though i am observing,i feel isolated as though i am observing,0.0
i feel there are a lot of things that i need want must to do but always somehow got distracted got a call from my crol tl and just told her that couldnt join her as per going to the doc,i feel there are a lot of things that i need want must to do but always somehow got distracted got a call from my crol tl and just told her that couldnt join her as per going to the doc,0.0
im thinking of locking myself in my house until i manage to get it all organized but i have a feeling i may become as cranky and isolated as this dear friend a href http,im thinking of locking myself in my house until i manage to get it all organized but i have a feeling i may become as cranky and isolated as this dear friend a href http,0.0
i had this crazy idea that all of that water slogging around in my stomach would make me feel crappy so i kept my sips to an absolute minimum,i had this crazy idea that all of that water slogging around in my stomach would make me feel crappy so i kept my sips to an absolute minimum,0.0
i lock mine with a long lifeline and loop to a cleat or piling and take my gas line and if i m feeling especially paranoid the spark plug too covering the hole with duct tape,i lock mine with a long lifeline and loop to a cleat or piling and take my gas line and if i m feeling especially paranoid the spark plug too covering the hole with duct tape,0.0
i feel fabulous on stage and in my marketing videos but in every day life also,i feel fabulous on stage and in my marketing videos but in every day life also,0.0
im feeling passionate about in my own home,im feeling passionate about in my own home,0.0
i feel that im not talented in baking,i feel that im not talented in baking,0.0
i feel amused when i hear my neighbour use the word muze instead of mujhe and hey kay becomes zay kay,i feel amused when i hear my neighbour use the word muze instead of mujhe and hey kay becomes zay kay,0.0
i feel like we were successful in the creation of the mural as it would enhance the working environment of the school and will add motivation to the children as well as experience to everyone who was involved,i feel like we were successful in the creation of the mural as it would enhance the working environment of the school and will add motivation to the children as well as experience to everyone who was involved,0.0
i feel how totally utterly trusting and reliant on me you are i cant bear the idea of ever not being here,i feel how totally utterly trusting and reliant on me you are i cant bear the idea of ever not being here,0.0
i hate the fact i feel so miserable most of the time when im not usually and i hate the fact i feel as if im moaning,i hate the fact i feel so miserable most of the time when im not usually and i hate the fact i feel as if im moaning,0.0
i feel that supporting or at least not condemning the seal hunt is akin to saying well think of all the good things hitler did,i feel that supporting or at least not condemning the seal hunt is akin to saying well think of all the good things hitler did,0.0
i had to sacrifice my comfort so he wont feel unwelcome,i had to sacrifice my comfort so he wont feel unwelcome,0.0
i feel like my life is very rich and fulfilling but i know people look at the way i live and feel some misplaced pity for me,i feel like my life is very rich and fulfilling but i know people look at the way i live and feel some misplaced pity for me,0.0
im feeling overwhelmed,im feeling overwhelmed,0.0
i am feeling a little homesick for colorado,i am feeling a little homesick for colorado,0.0
i know i am not alone in this feeling and a supportive community is the antidote,i know i am not alone in this feeling and a supportive community is the antidote,0.0
i feel stressed out i have to learn a lot and i cannot give my blog and looks the time i wish i could,i feel stressed out i have to learn a lot and i cannot give my blog and looks the time i wish i could,0.0
i was also feeling anxious around some of the people sitting in the waiting area,i was also feeling anxious around some of the people sitting in the waiting area,0.0
ive been honestly self indulgent and rather reckless with my consumption of caffeine cigarettes and junk food which combined with the dangerous ingredient of freezing weather has caused me to feel lethargic fat and unfit,ive been honestly self indulgent and rather reckless with my consumption of caffeine cigarettes and junk food which combined with the dangerous ingredient of freezing weather has caused me to feel lethargic fat and unfit,0.0
i always thought that if i contracted something from one of those people and passed it on to him that i d feel awful but after i got the sti test i thought i was basically in the clear,i always thought that if i contracted something from one of those people and passed it on to him that i d feel awful but after i got the sti test i thought i was basically in the clear,0.0
i feel that this reality is tragic,i feel that this reality is tragic,0.0
i didnt want to be a part of a group just to feel accepted,i didnt want to be a part of a group just to feel accepted,0.0
i said i wanted to give you a little sample of the writing i denied you then but i m feeling a little more generous today i suppose because i just have to share one little taste,i said i wanted to give you a little sample of the writing i denied you then but i m feeling a little more generous today i suppose because i just have to share one little taste,0.0
i don t know i feel confused,i don t know i feel confused,0.0
i begin to feel complacent with my life here,i begin to feel complacent with my life here,0.0
i feel for these kids because you know theyre talented but i think one of the things with the whole american idol deal is that they grab a hold of you and you do what they tell you,i feel for these kids because you know theyre talented but i think one of the things with the whole american idol deal is that they grab a hold of you and you do what they tell you,0.0
i sci makes you feel like the earth and life as we know it is doomed,i sci makes you feel like the earth and life as we know it is doomed,0.0
i still feel devastated,i still feel devastated,0.0
